day,time,lat,long,loc_provider,activity_confidence,light,distance,wifi_count,charging,activity_vehicle,activity_bike,activity_foot,activity_still,activity_unknown,activity_tilting,audio_silence,audio_noise,audio_voice,audio_error,com.snapchat.android,com.sec.android.app.launcher,com.android.chrome,com.facebook.orca,com.android.contacts,com.google.android.youtube,com.google.android.googlequicksearchbox,com.groupme.android,com.android.phone,com.stronglifts.app,ch.bitspin.timely,com.google.android.keep,com.google.android.music,com.google.android.calendar,com.google.android.talk,com.android.systemui,com.google.android.gm,com.tryagent,com.example.autovol,com.contapps.android,com.android.settings,com.android.calendar,com.yahoo.mobile.client.android.weather,1
1,4,43.7056986,-72.2923939,0,61,0.0,5.0,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,43.7056986,-72.2923939,0,61,0.0,5.0,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,43.7056986,-72.2923939,0,100,0.0,5.0,10,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,43.7056986,-72.2923939,0,100,0.0,5.0,10,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,43.7056986,-72.2923939,0,90,0.0,5.0,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,43.7056986,-72.2923939,0,90,0.0,5.0,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,43.7056986,-72.2923939,0,90,0.0,5.0,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,43.7056986,-72.2923939,0,84,0.0,5.0,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,43.7056986,-72.2923939,0,84,0.0,5.0,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,43.7056986,-72.2923939,0,84,0.0,5.0,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,43.7056986,-72.2923939,0,84,0.0,5.0,4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,43.7056986,-72.2923939,0,92,0.0,5.0,4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
